euka_corrected_full_j_0.0_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Rattus	yes	633	0.0367523	0.0329015	0.0409522	0.0308006	0.0434976	
Ursidae	yes	1786	0.103868	0.0933985	0.114892	0.0875584	0.122263	
Xerinae	yes	219	0.0127053	0.0113165	0.0142156	0.0106473	0.0151152

euka_corrected_full_j_0.5_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1854	0.107464	0.0969728	0.119539	0.0912536	0.12686	
Bovidae	yes	224	0.0129929	0.0116113	0.014558	0.0108761	0.0154977	
Calyptratae	yes	5940	0.345383	0.320758	0.371509	0.306442	0.388264	
Colubroidea	yes	1265	0.0734693	0.0658762	0.0816844	0.0620498	0.0869124	
Cryptorhynchinae	yes	252	0.014657	0.0130929	0.016402	0.0122725	0.0175021	
Lampyridae	yes	3445	0.200121	0.182392	0.21903	0.173041	0.23106	
Lycosoidea	yes	723	0.0420543	0.0377969	0.0468305	0.035255	0.0498783	
Mus	yes	315	0.0183163	0.0163543	0.0204614	0.0153289	0.0218779	
Myotis	yes	494	0.0287005	0.0256827	0.0321205	0.0239598	0.0341624	
Rattus	yes	633	0.0367477	0.0330191	0.0410142	0.0308875	0.0437507	
Ursidae	yes	1786	0.103731	0.0935978	0.114894	0.0881991	0.121974	
Xerinae	yes	219	0.0127075	0.0113442	0.0141963	0.0106635	0.0151436

euka_corrected_full_j_0.6_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1854	0.107609	0.0968614	0.119367	0.0911082	0.126473	
Bovidae	yes	224	0.013002	0.011649	0.0145234	0.0108768	0.0155068	
Calyptratae	yes	5940	0.345567	0.320656	0.370927	0.305855	0.385879	
Colubroidea	yes	1265	0.0735691	0.0660164	0.0816441	0.0619138	0.0866676	
Cryptorhynchinae	yes	252	0.0146385	0.013092	0.0163327	0.0122736	0.0174648	
Lampyridae	yes	3445	0.200766	0.182762	0.219857	0.172722	0.231994	
Lycosoidea	yes	723	0.0419324	0.0376172	0.0467865	0.0353879	0.0498761	
Mus	yes	315	0.018262	0.0163287	0.0203921	0.0153349	0.0217354	
Myotis	yes	494	0.0286917	0.0256432	0.0319653	0.024001	0.0341507	
Rattus	yes	633	0.036711	0.032824	0.0410024	0.0307465	0.0436407	
Ursidae	yes	1786	0.103648	0.093516	0.114885	0.0880382	0.121957	
Xerinae	yes	219	0.0127212	0.0113562	0.0142055	0.0106447	0.0151378

euka_corrected_full_j_0.7_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1843	0.108842	0.0983026	0.120608	0.092076	0.128266	
Bovidae	yes	211	0.0124313	0.0110975	0.0139008	0.0103763	0.0148533	
Calyptratae	yes	5845	0.345953	0.321167	0.371606	0.306666	0.386356	
Colubroidea	yes	1236	0.0729921	0.0655893	0.0810639	0.0613419	0.0861143	
Cryptorhynchinae	yes	251	0.0147856	0.0132393	0.0165861	0.0123912	0.0176503	
Lampyridae	yes	3421	0.202039	0.18417	0.220973	0.174141	0.232804	
Lycosoidea	yes	718	0.0423468	0.0380173	0.0472601	0.035604	0.0502741	
Mus	yes	304	0.0179406	0.016029	0.0200501	0.0149857	0.0214594	
Myotis	yes	484	0.0286133	0.0255815	0.0319311	0.0239184	0.0340589	
Rattus	yes	608	0.0358177	0.0321005	0.0399124	0.0300567	0.0426688	
Ursidae	yes	1739	0.102712	0.0926798	0.113834	0.0872977	0.120537	
Xerinae	yes	214	0.0126342	0.0112832	0.0141345	0.0105509	0.0151128

euka_corrected_full_j_0.8_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1843	0.108781	0.0981011	0.120615	0.0923768	0.127982	
Bovidae	yes	211	0.0124187	0.011108	0.0139029	0.010424	0.0148716	
Calyptratae	yes	5845	0.345395	0.320251	0.371398	0.305826	0.386784	
Colubroidea	yes	1236	0.0730202	0.0656278	0.0811357	0.0615899	0.0863056	
Cryptorhynchinae	yes	251	0.0148314	0.0132467	0.0165605	0.0123735	0.0176336	
Lampyridae	yes	3421	0.202721	0.184376	0.22149	0.174076	0.233595	
Lycosoidea	yes	718	0.0423565	0.0380352	0.0472536	0.0356438	0.050453	
Mus	yes	304	0.017956	0.0160407	0.0199893	0.0150736	0.0213536	
Myotis	yes	484	0.0285162	0.0255786	0.0318516	0.0239455	0.0339822	
Rattus	yes	608	0.0358247	0.0321404	0.0399609	0.0300172	0.0425552	
Ursidae	yes	1739	0.102646	0.0925476	0.113846	0.0868109	0.120604	
Xerinae	yes	214	0.0126206	0.0112728	0.0141191	0.0105747	0.0150878

euka_corrected_full_j_0.9_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1796	0.110203	0.099397	0.122	0.0933985	0.129001	
Bovidae	yes	197	0.0120868	0.0108355	0.0135441	0.0101206	0.0144667	
Calyptratae	yes	5651	0.347486	0.322426	0.373547	0.307659	0.388564	
Colubroidea	yes	1139	0.0698382	0.0627504	0.0776005	0.05893	0.082494	
Cryptorhynchinae	yes	239	0.0146563	0.0131036	0.0163434	0.0122587	0.0174764	
Lampyridae	yes	3337	0.205128	0.186612	0.224458	0.176352	0.236229	
Lycosoidea	yes	703	0.0432043	0.0387678	0.0480991	0.0362837	0.0512509	
Mus	yes	291	0.0178886	0.0159963	0.019983	0.0149782	0.021344	
Myotis	yes	455	0.0279826	0.0250412	0.03124	0.0234724	0.0332506	
Rattus	yes	566	0.0347291	0.031065	0.0387646	0.0291529	0.0413055	
Ursidae	yes	1660	0.101664	0.0917115	0.112699	0.0862346	0.11951	
Xerinae	yes	200	0.0122777	0.0109961	0.0136898	0.010299	0.0146019

euka_corrected_full_j_1.0_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1678	0.110733	0.0995767	0.12266	0.0937303	0.130114	
Bovidae	yes	185	0.0122086	0.0109665	0.0136595	0.0102822	0.0145944	
Calyptratae	yes	5298	0.350263	0.324803	0.375922	0.311257	0.391173	
Colubroidea	yes	994	0.0655221	0.0588497	0.0730351	0.0551286	0.0776733	
Cryptorhynchinae	yes	219	0.0144836	0.0129068	0.0162055	0.0120717	0.0172861	
Lampyridae	yes	3123	0.206651	0.188228	0.226012	0.17772	0.23775	
Lycosoidea	yes	654	0.0431517	0.0387656	0.0480274	0.0362499	0.0511498	
Mus	yes	257	0.0169552	0.0151176	0.0189412	0.0141905	0.0202124	
Myotis	yes	417	0.0274913	0.0246229	0.0307151	0.0230974	0.0328249	
Rattus	yes	539	0.0355313	0.0318474	0.0396159	0.0299256	0.0422791	
Ursidae	yes	1541	0.10174	0.0916181	0.112794	0.0864119	0.119366	
Xerinae	yes	190	0.0125434	0.0111897	0.0140573	0.0104996	0.0150071

